archetype_id,framing_system,num_stories,ie,design_drift,hazard_level,period,sa,sa_1,pga,sa_dbe,sa_dbe_geomean,sa_norm,sa_norm_geomean,p_redtag,p_col,p_residual,loss_ratio_mean,loss_ratio_fractile_90,loss_ratio_median,reoccupancy_prob_loss,reoccupancy_days_mean,reoccupancy_days_fractile_90,reoccupancy_days_median,function_prob_loss,function_days_mean,function_days_fractile_90,function_days_median,full_repair_days_mean,full_repair_days_fractile_90,full_repair_days_median,pRO_rep,pRO_str,pRO_nsd,pRO_nsa,pFR_rep,pFR_str,pFR_nsd,pFR_nsa,p_long_lead,p_inspection,p_financing,p_contractor_mob,p_eng_mob,p_design,p_permit_rapid,p_permit_full
F8-D150,C1a,8,1,0.015,2475,1.644624223,0.578699223,0.909467399,0.949423793,0.364824981,0.2806346,1.586237933,2.062109313,0.4792,0,0.1798,0.336445283,1,0.210166778,0.999,345.0038968,584,302,0.9998,438.4767979,584,431,446,586,437,0.1798,0.2994,0.8184,0.5684,0.1798,0.5712,0.8184,0.7712,0.7948,0.4608,0.8124,0.8202,0.8136,0.8136,0.8202,0.8136
F8-D100,C1a,8,1,0.01,108,1.301124339,0.14026071,0.169274865,0.221743847,0.461139633,0.354722795,0.30416104,0.395409352,0,0,0,0.006483316,0.018868197,0.002186019,0.4144,23.70341714,103.5,0,0.6586,136.9671133,331,117,178,369,151,0,0,0.2462,0.2546,0,0.0002,0.2462,0.5862,0.5796,0,0.087,0.9882,0.1986,0.1986,0.9882,0.1986
F8-D100,C1a,8,1,0.01,475,1.301124339,0.348168609,0.419034108,0.489513393,0.461139633,0.354722795,0.755017753,0.981523079,0.0448,0,0,0.053453453,0.131369755,0.030958464,0.8766,109.1576974,203.5,111,0.9384,230.9131048,423.5,214,260,446,245,0,0.0448,0.8308,0.4394,0,0.142,0.8308,0.7916,0.805,0.0906,0.6212,0.9996,0.7558,0.7558,0.9996,0.7558
F8-D100,C1a,8,1,0.01,975,1.301124339,0.500957796,0.603135526,0.672095046,0.461139633,0.354722795,1.086347302,1.412251492,0.1984,0,0.0248,0.13673004,0.303731452,0.081233434,0.9594,182.9193392,310,170.9083333,0.99,299.3012519,498.5,287.3,319,508,306,0.0248,0.1736,0.9208,0.5922,0.0248,0.3602,0.9208,0.865,0.885,0.2676,0.8204,0.9752,0.8746,0.8746,0.9752,0.8746
F8-D100,C1a,8,1,0.01,2475,1.301124339,0.754955135,0.909467399,0.949423793,0.461139633,0.354722795,1.637150834,2.128296084,0.4098,0,0.1164,0.282191964,1,0.183830393,0.9936,318.9491675,584,283.9,0.999,429.9853822,595,423.1666667,439,599,430,0.1164,0.2934,0.8716,0.6814,0.1164,0.5402,0.8716,0.845,0.8542,0.4376,0.848,0.8836,0.86,0.86,0.8836,0.86
F8-S150-D100,C1a,8,1.5,0.01,108,1.164546929,0.153420318,0.169274865,0.221743847,0.51522183,0.396324485,0.297775267,0.387107847,0.0002,0,0,0.00602406,0.017931221,0.001962744,0.3858,18.91992333,91,0,0.6564,140.2426433,339,125,181,375,156,0,0.0002,0.1936,0.2728,0,0.0006,0.1936,0.6088,0.604,0.0004,0.0784,0.9896,0.1588,0.1588,0.9896,0.1588
F8-S150-D100,C1a,8,1.5,0.01,475,1.164546929,0.380310237,0.419034108,0.489513393,0.51522183,0.396324485,0.738148531,0.95959309,0.0298,0,0,0.046350431,0.113718984,0.025951174,0.8532,101.2493651,196.5,104,0.9288,226.2602329,421,209.8333333,258,445,242,0,0.0298,0.8002,0.458,0,0.1154,0.8002,0.7986,0.8064,0.067,0.5702,0.9994,0.7198,0.7198,0.9994,0.7198
F8-S150-D100,C1a,8,1.5,0.01,975,1.164546929,0.547301342,0.603135526,0.672095046,0.51522183,0.396324485,1.062263495,1.380942544,0.1772,0,0.0146,0.125198281,0.283211613,0.079838944,0.9576,177.3908753,296.75,168.2029762,0.9896,299.5855245,487,289.4333333,320,500,308,0.0146,0.1626,0.9246,0.6436,0.0146,0.3548,0.9246,0.8904,0.9028,0.2684,0.827,0.9854,0.8802,0.8802,0.9854,0.8802
F8-S150-D100,C1a,8,1.5,0.01,2475,1.164546929,0.825035437,0.909467399,0.949423793,0.51522183,0.396324485,1.601320808,2.081717051,0.4194,0,0.1118,0.283029737,1,0.189138164,0.992,319.5341588,584,286.2666667,0.9998,435.9942324,600,428,444,603,435,0.1118,0.3076,0.873,0.7136,0.1118,0.5468,0.873,0.8588,0.8658,0.449,0.8552,0.8882,0.8602,0.8602,0.8882,0.8602
F12-S125,C1a,12,1.25,0.02,108,1.748706797,0.097134915,0.169274865,0.221743847,0.343110692,0.263931302,0.28310081,0.368031053,0,0,0,0.005861216,0.016103637,0.002043985,0.3768,21.36501762,98.5,0,0.6358,139.1030433,351,114.5,194,400,172,0,0,0.2156,0.219,0,0,0.2156,0.5658,0.6216,0,0.0674,0.9926,0.1812,0.1812,0.9926,0.1812
F12-S125,C1a,12,1.25,0.02,475,1.748706797,0.242836193,0.419034108,0.489513393,0.343110692,0.263931302,0.707748836,0.920073487,0.0454,0,0.001,0.048291219,0.11319433,0.030922478,0.8876,111.3777717,204,113,0.9484,250.8454422,446.3333333,239,289,472,278,0.001,0.0444,0.843,0.4408,0.001,0.15,0.843,0.8084,0.8586,0.0906,0.627,0.9988,0.7726,0.7726,0.9988,0.7726
F12-S125,C1a,12,1.25,0.02,975,1.748706797,0.34908379,0.603135526,0.672095046,0.343110692,0.263931302,1.017408661,1.32263126,0.2642,0,0.063,0.164283804,0.298624075,0.088049983,0.9732,209.3459458,354,181.5,0.9934,337.4490913,568.5,321.6666667,363,583,348,0.063,0.2014,0.8986,0.5822,0.063,0.4018,0.8986,0.8376,0.8728,0.3094,0.8174,0.937,0.8718,0.8718,0.937,0.8718
F12-S125,C1a,12,1.25,0.02,2475,1.748706797,0.525292599,0.909467399,0.949423793,0.343110692,0.263931302,1.530971231,1.990262601,0.4476,0,0.189,0.312866221,1,0.171274255,0.9964,347.8378466,641,293.25,0.9994,476.079236,641,474,487,641,482,0.189,0.2588,0.7998,0.659,0.189,0.487,0.7998,0.7806,0.7996,0.386,0.782,0.811,0.7916,0.7916,0.811,0.7916
F12-S150,C1a,12,1.5,0.02,108,1.618175178,0.109711994,0.169274865,0.221743847,0.370788038,0.285221568,0.295888709,0.384655321,0,0,0,0.006410796,0.017199487,0.002434254,0.3946,21.88496981,98.5,0,0.6692,149.3180063,358.5,131,202,407,183,0,0,0.2146,0.2548,0,0.0014,0.2146,0.6106,0.6644,0,0.076,0.9946,0.183,0.183,0.9946,0.183
F12-S150,C1a,12,1.5,0.02,475,1.618175178,0.273555026,0.419034108,0.489513393,0.370788038,0.285221568,0.737766589,0.959096566,0.027,0,0,0.044726626,0.103480622,0.029408297,0.8976,107.1970614,196,109.5,0.9516,259.0312494,453,247,295,478,285,0,0.027,0.8484,0.5174,0,0.1064,0.8488,0.844,0.8794,0.0628,0.6252,0.9998,0.7738,0.7738,0.9998,0.7738
F12-S150,C1a,12,1.5,0.02,975,1.618175178,0.393375874,0.603135526,0.672095046,0.370788038,0.285221568,1.060918459,1.379193997,0.2062,0,0.0214,0.124997714,0.264530907,0.077468076,0.9712,186.1180318,308.6125,170.7345238,0.9904,326.4134336,521,317.3333333,351,537,340,0.0214,0.185,0.9354,0.659,0.0214,0.3772,0.9354,0.8904,0.9192,0.2846,0.8376,0.9786,0.9042,0.9042,0.9786,0.9042
F12-S150,C1a,12,1.5,0.02,2475,1.618175178,0.592270699,0.909467399,0.949423793,0.370788038,0.285221568,1.597329573,2.076528445,0.3592,0,0.1164,0.245145727,1,0.138469788,0.989,312.9600066,641,269,0.9982,458.3763938,641,450,471,641,461,0.1164,0.2432,0.8602,0.7262,0.1164,0.4644,0.8602,0.8532,0.8676,0.3676,0.8356,0.8836,0.845,0.845,0.8836,0.845
F12-D150,C1a,12,1,0.015,108,1.833019675,0.089011138,0.169274865,0.221743847,0.327328729,0.25179133,0.271931946,0.35351153,0,0,0,0.006780019,0.018295183,0.002312246,0.4114,28.4361881,115,0,0.6338,139.7590357,355,111,193,405,169,0,0,0.288,0.216,0,0.0012,0.288,0.5566,0.6182,0.0002,0.0884,0.9882,0.2384,0.2384,0.9882,0.2384
F12-D150,C1a,12,1,0.015,475,1.833019675,0.222994309,0.419034108,0.489513393,0.327328729,0.25179133,0.681254928,0.885631406,0.0382,0,0,0.049499676,0.114005299,0.033845382,0.9216,117.9942639,205.2458333,119.4125,0.9594,250.147117,447,233.8583333,287,471,274,0,0.0382,0.892,0.431,0,0.1456,0.892,0.7892,0.8464,0.0826,0.6612,1,0.8236,0.8236,1,0.8236
F12-D150,C1a,12,1,0.015,975,1.833019675,0.320474683,0.603135526,0.672095046,0.327328729,0.25179133,0.979060666,1.272778866,0.2694,0,0.0422,0.157455635,0.297156484,0.096813012,0.986,211.941929,343.15,189.4166667,0.9964,335.1339707,541,322,359,557,345,0.0422,0.2272,0.9368,0.5816,0.0422,0.4538,0.9368,0.854,0.8948,0.3516,0.8658,0.9578,0.9146,0.9146,0.9578,0.9146
F12-D150,C1a,12,1,0.015,2475,1.833019675,0.482030159,0.909467399,0.949423793,0.327328729,0.25179133,1.472617943,1.914403326,0.4088,0,0.1484,0.28370726,1,0.163020898,0.9962,338.380429,641,290.575,0.9994,462.8484836,641,456,476,641,468,0.1484,0.2604,0.843,0.6592,0.1484,0.517,0.843,0.818,0.8382,0.4038,0.8232,0.8516,0.8358,0.8358,0.8516,0.8358
F12-D100,C1a,12,1,0.01,108,1.539759865,0.117267524,0.169274865,0.221743847,0.389671152,0.29974704,0.300939712,0.391221625,0,0,0,0.005841268,0.01555337,0.002030609,0.3568,16.22137238,78.5,0,0.6452,144.09546,353.8333333,124,198,405,179,0,0,0.1614,0.2508,0,0,0.1614,0.5978,0.6492,0,0.0626,0.9896,0.1348,0.1348,0.9896,0.1348
F12-D100,C1a,12,1,0.01,475,1.539759865,0.292008999,0.419034108,0.489513393,0.389671152,0.29974704,0.749372895,0.974184763,0.0234,0,0,0.038076857,0.089940547,0.023831287,0.8514,94.11754949,188.5,97,0.934,248.0534978,448,237,289,474,279,0,0.0234,0.7726,0.478,0,0.0832,0.7728,0.8292,0.8678,0.0526,0.555,0.9998,0.6918,0.6918,0.9998,0.6918
F12-D100,C1a,12,1,0.01,975,1.539759865,0.419983815,0.603135526,0.672095046,0.389671152,0.29974704,1.077790372,1.401127483,0.1362,0,0.0052,0.092758917,0.22125472,0.057647235,0.9466,159.9823438,277.0833333,152.5071429,0.9808,308.7899788,494,301.6666667,337,513,329,0.0052,0.131,0.9094,0.6392,0.0052,0.2952,0.9094,0.8948,0.9272,0.212,0.788,0.9948,0.8662,0.8662,0.9948,0.8662
F12-D100,C1a,12,1,0.01,2475,1.539759865,0.632506994,0.909467399,0.949423793,0.389671152,0.29974704,1.623181472,2.110135913,0.2854,0,0.0854,0.208118419,0.405807308,0.119203711,0.986,292.0851597,609.75,252.5,0.997,446.4364234,641,440,460,641,450,0.0854,0.2,0.8882,0.7458,0.0854,0.4302,0.8882,0.884,0.896,0.3224,0.843,0.9146,0.867,0.867,0.9146,0.867
F12-S150-D100,C1a,12,1.5,0.01,108,1.539759865,0.117267524,0.169274865,0.221743847,0.389671152,0.29974704,0.300939712,0.391221625,0,0,0,0.006416915,0.017280416,0.002571285,0.3926,19.70346095,93,0,0.6658,149.5231767,359,132,204,408,188,0,0,0.1942,0.2704,0,0.0008,0.1942,0.6154,0.6718,0.0004,0.0766,0.9922,0.1638,0.1638,0.9922,0.1638
F12-S150-D100,C1a,12,1.5,0.01,475,1.539759865,0.292008999,0.419034108,0.489513393,0.389671152,0.29974704,0.749372895,0.974184763,0.0144,0,0,0.038063275,0.085375889,0.025877807,0.8844,98.87926722,186.5,102.5,0.9482,253.6657344,449,242,293,479,282,0,0.0144,0.8166,0.5244,0,0.0778,0.8168,0.841,0.8834,0.0438,0.5874,1,0.7356,0.7356,1,0.7356
F12-S150-D100,C1a,12,1.5,0.01,975,1.539759865,0.419983815,0.603135526,0.672095046,0.389671152,0.29974704,1.077790372,1.401127483,0.1508,0,0.0076,0.101215894,0.22802884,0.067115993,0.9614,169.0696535,284.25,161.3666667,0.9878,317.9435932,500.5,310.9732143,344,520,334,0.0076,0.1432,0.9326,0.6722,0.0076,0.3244,0.9326,0.9078,0.9366,0.2394,0.822,0.9924,0.8942,0.8942,0.9924,0.8942
F12-S150-D100,C1a,12,1.5,0.01,2475,1.539759865,0.632506994,0.909467399,0.949423793,0.389671152,0.29974704,1.623181472,2.110135913,0.2756,0,0.076,0.199703412,0.376098855,0.117655634,0.987,290.0073762,566.25,251.1095238,0.997,446.7050407,641,437,460,641,447,0.076,0.1996,0.901,0.7754,0.076,0.4392,0.901,0.8972,0.908,0.3306,0.8578,0.924,0.8814,0.8814,0.924,0.8814
F20-S125,C1a,20,1.25,0.02,108,2.664519738,0.053517817,0.169274865,0.221743847,0.225181293,0.168899568,0.237665468,0.316861778,0.0004,0,0,0.005317078,0.015277955,0.001255592,0.3746,22.58565381,103.5,0,0.6316,151.7552933,368,137,202,414,182,0,0.0004,0.209,0.2674,0,0.0016,0.209,0.5976,0.6466,0.001,0.068,0.9772,0.1912,0.1912,0.9772,0.1912
F20-S125,C1a,20,1.25,0.02,475,2.664519738,0.135727939,0.419034108,0.489513393,0.225181293,0.168899568,0.602749621,0.803601458,0.0158,0,0,0.030730287,0.069774912,0.020540799,0.918,112.119842,193.7083333,113,0.9598,264.369344,472,251.9583333,305,497,297,0,0.0158,0.8938,0.5282,0,0.0828,0.8938,0.8294,0.8702,0.0408,0.5094,1,0.8358,0.8358,1,0.8358
F20-S125,C1a,20,1.25,0.02,975,2.664519738,0.194867337,0.603135526,0.672095046,0.225181293,0.168899568,0.865379778,1.153746808,0.1462,0,0.0066,0.079185427,0.158654651,0.057498523,0.9904,183.3464503,279.6583333,175,0.997,336.6021894,530,324,364,543,352,0.0066,0.1396,0.9764,0.7026,0.0066,0.3558,0.9764,0.9104,0.94,0.251,0.8416,0.9934,0.9616,0.9616,0.9934,0.9616
F20-S125,C1a,20,1.25,0.02,2475,2.664519738,0.292314393,0.909467399,0.949423793,0.225181293,0.168899568,1.298129115,1.73069947,0.3084,0,0.0936,0.192942603,0.330839266,0.104236019,0.9992,320.7712675,664,267,0.9998,464.6181993,756,442.75,480,756,457,0.0936,0.2152,0.9042,0.7328,0.0936,0.4882,0.9042,0.8632,0.884,0.3604,0.8674,0.9064,0.9002,0.9002,0.9064,0.9002
F20-S150,C1a,20,1.5,0.02,108,2.344109545,0.062873956,0.169274865,0.221743847,0.255960734,0.194321037,0.245639066,0.323557123,0.0006,0,0,0.006375927,0.017069734,0.002281589,0.4226,26.33380167,111.5,0,0.676,165.01837,381.6,157,214,421,201,0,0.0006,0.2398,0.3304,0,0.004,0.2398,0.6528,0.7072,0.0018,0.0812,0.977,0.2196,0.2196,0.977,0.2196
F20-S150,C1a,20,1.5,0.02,475,2.344109545,0.15885746,0.419034108,0.489513393,0.255960734,0.194321037,0.620632147,0.817500064,0.0276,0,0,0.033954783,0.079463758,0.02154374,0.9174,114.473037,200,114.5,0.9594,271.5052013,473,259,311,498,302,0,0.0276,0.8842,0.6174,0,0.112,0.8842,0.8678,0.8946,0.0656,0.5232,1,0.8286,0.8286,1,0.8286
F20-S150,C1a,20,1.5,0.02,975,2.344109545,0.228111601,0.603135526,0.672095046,0.255960734,0.194321037,0.891197633,1.173890404,0.0864,0,0,0.066855347,0.142124986,0.051704872,0.9876,171.7364843,263.4166667,166.9619048,0.9968,330.4096058,519.5,320,358,535,349,0,0.0866,0.9782,0.7576,0,0.2944,0.9782,0.9316,0.9522,0.1776,0.8176,1,0.958,0.958,1,0.958
F20-S150,C1a,20,1.5,0.02,2475,2.344109545,0.342476837,0.909467399,0.949423793,0.255960734,0.194321037,1.338005369,1.762428001,0.3052,0,0.0268,0.16473318,0.316234467,0.118421305,0.998,306.5874285,493.25,273.7801587,0.9996,460.540685,681.5,448,474,686,461,0.0268,0.2786,0.9696,0.8498,0.0268,0.584,0.9696,0.9468,0.9556,0.4326,0.9392,0.9732,0.9672,0.9672,0.9732,0.9672
F20-D150,C1a,20,1,0.015,108,2.382116356,0.061764138,0.169274865,0.221743847,0.251876865,0.190945155,0.245215604,0.32346533,0.0004,0,0,0.005130134,0.014553108,0.001427695,0.3644,18.29242935,90.75,0,0.6384,154.6173633,370.6666667,141,209,420,193,0,0.0004,0.1682,0.2864,0,0.0012,0.1682,0.6126,0.6722,0.0006,0.0576,0.9826,0.155,0.155,0.9826,0.155
F20-D150,C1a,20,1,0.015,475,2.382116356,0.156113854,0.419034108,0.489513393,0.251876865,0.190945155,0.619802275,0.817584787,0.006,0,0,0.024503604,0.05885551,0.015525919,0.8594,95.30161719,180.8666667,99,0.9318,252.6828282,464.1666667,242,296,490,290,0,0.006,0.804,0.4968,0,0.0458,0.804,0.807,0.8532,0.021,0.4242,1,0.7474,0.7474,1,0.7474
F20-D150,C1a,20,1,0.015,975,2.382116356,0.224168192,0.603135526,0.672095046,0.251876865,0.190945155,0.889991193,1.17399256,0.092,0,0.003,0.064417552,0.143024033,0.044215714,0.9654,160.5964716,256.5333333,156.375,0.985,322.9942449,521,316,353,537,344,0.003,0.089,0.9472,0.682,0.003,0.2472,0.9472,0.8926,0.929,0.1642,0.7432,0.997,0.9186,0.9186,0.997,0.9186
F20-D150,C1a,20,1,0.015,2475,2.382116356,0.336526606,0.909467399,0.949423793,0.251876865,0.190945155,1.336075887,1.762425476,0.2736,0,0.0796,0.171508565,0.276384598,0.089221222,0.996,300.2907814,577.3333333,251.5,0.9996,456.9890463,756,440.6416667,473,756,454,0.0796,0.1946,0.9036,0.7388,0.0796,0.433,0.9036,0.8726,0.8928,0.3146,0.8372,0.9204,0.8964,0.8964,0.9204,0.8964
F20-D100,C1a,20,1,0.01,108,2.024445795,0.072208297,0.169274865,0.221743847,0.296377409,0.227768469,0.243636306,0.317024992,0,0,0,0.004730766,0.01278015,0.002026112,0.3548,9.954503333,12,0,0.6834,164.6029733,372,156,214,419,202,0,0,0.0792,0.3236,0,0,0.0792,0.674,0.7248,0,0.0462,0.964,0.0844,0.0844,0.964,0.0844
F20-D100,C1a,20,1,0.01,475,2.024445795,0.181933097,0.419034108,0.489513393,0.296377409,0.227768469,0.613856157,0.798763314,0.0004,0,0,0.018074524,0.04364201,0.011763866,0.7974,69.04604985,157,72.75,0.9262,256.8896126,463.5,246,301,489,292,0,0.0004,0.636,0.5464,0,0.0116,0.636,0.855,0.9016,0.0026,0.347,0.9994,0.584,0.584,0.9994,0.584
F20-D100,C1a,20,1,0.01,975,2.024445795,0.261278416,0.603135526,0.672095046,0.296377409,0.227768469,0.881573319,1.147122852,0.0386,0,0,0.042831992,0.092448121,0.031545329,0.944,129.3690009,225.2166667,130,0.9818,315.6589537,502,307.3333333,350,527,342,0,0.0386,0.871,0.718,0,0.1292,0.871,0.9252,0.9504,0.073,0.6536,1,0.829,0.829,1,0.829
F20-D100,C1a,20,1,0.01,2475,2.024445795,0.39252242,0.909467399,0.949423793,0.296377409,0.227768469,1.324400603,1.723339585,0.1752,0,0.0268,0.113100258,0.213580805,0.06946082,0.9892,255.8076863,428.6428571,225.3220238,0.9976,437.6205395,660,422.3333333,455,665,438,0.0268,0.1486,0.935,0.8246,0.0268,0.3632,0.935,0.9378,0.9518,0.2498,0.8556,0.9732,0.9226,0.9226,0.9732,0.9226
F20-S150-D100,C1a,20,1.5,0.01,108,1.977236157,0.075115485,0.169274865,0.221743847,0.303453888,0.233426068,0.247535089,0.321795616,0,0,0,0.005361873,0.014615839,0.002448388,0.401,12.6864,23.5,0,0.7044,172.1359467,381.1666667,166,220,425,207,0,0,0.1062,0.3704,0,0,0.1062,0.6958,0.7474,0.0002,0.0536,0.965,0.1056,0.1056,0.965,0.1056
F20-S150-D100,C1a,20,1.5,0.01,475,1.977236157,0.189054931,0.419034108,0.489513393,0.303453888,0.233426068,0.623010408,0.809913531,0.0006,0,0,0.020493049,0.048537094,0.013831496,0.8232,72.66730897,160.5,77.625,0.9314,266.9985167,466,258,309,494,300,0,0.0006,0.664,0.6226,0,0.0128,0.664,0.8758,0.9142,0.003,0.381,1,0.6074,0.6074,1,0.6074
F20-S150-D100,C1a,20,1.5,0.01,975,1.977236157,0.271539041,0.603135526,0.672095046,0.303453888,0.233426068,0.894828018,1.163276423,0.0182,0,0,0.042937293,0.090087365,0.033319598,0.9588,131.5001001,222.0267857,132,0.9862,322.2153749,509,313,353,528,343,0,0.0182,0.896,0.7572,0,0.0994,0.896,0.9392,0.9612,0.0476,0.6908,1,0.8552,0.8552,1,0.8552
F20-S150-D100,C1a,20,1.5,0.01,2475,1.977236157,0.408030112,0.909467399,0.949423793,0.303453888,0.233426068,1.344619818,1.748005764,0.168,0,0.0224,0.117245599,0.228097775,0.075307036,0.9918,258.1243548,426.8083333,228,0.9978,442.0937381,658,429,458,662,441,0.0224,0.1458,0.9472,0.849,0.0224,0.3598,0.9472,0.9496,0.9636,0.242,0.886,0.9776,0.9364,0.9364,0.9776,0.9364
